Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
INFO EDGE INDIA LTD,INE663F01024,SB1685L00,0.0%,Communication Services,India,AA
INFOSYS ADR REPRESENTING ONE LTD,US4567881085,456788108,0.0%,Information Technology,India,A
INFOSYS LTD,INE009A01021,S62051222,0.0%,Information Technology,India,A
INTELLECT DESIGN ARENA LTD,INE306R01017,SBRB31701,0.0%,Information Technology,India,
INTERGLOBE AVIATION LTD,INE646L01027,BRSWM1DH2,0.0%,Industrials,India,B
IPCA LABORATORIES LTD,INE571A01038,SBMX7Q691,0.0%,Health Care,India,BB
IRB INFRASTRUCTURE DEVELOPERS LTD,INE821I01014,SB2NXWC54,0.0%,Industrials,India,
ITC LTD,INE154A01025,SB0JGGP55,0.0%,Consumer Staples,India,AA
J.B. CHEMICALS AND PHARMACEUTICALS,INE572A01028,SB06XYJ94,0.0%,Health Care,India,
J.K. CEMENT LTD,INE823G01014,SB0CJ8003,0.0%,Materials,India,BB
JINDAL STEEL AND POWER LTD,INE749A01030,S67268169,0.0%,Materials,India,CCC
JSW STEEL LTD,INE019A01038,SBZBYJJ71,0.0%,Materials,India,B
JUBILANT FOODWORKS LTD,INE797F01020,SBNVYT938,0.0%,Consumer Discretionary,India,
JUBILANT INGREVIA LTD,INE0BY001018,SBMFMT184,0.0%,Materials,India,
JUBILANT PHARMOVA LTD,INE700A01033,SB10SSN90,0.0%,Health Care,India,
JUST DIAL LTD,INE599M01018,SB8W3TV65,0.0%,Communication Services,India,
KAJARIA CERAMICS LTD,INE217B01036,SBDB5J630,0.0%,Industrials,India,CCC
KANSAI NEROLAC PAINTS LTD,INE531A01024,SBWGW7246,0.0%,Materials,India,
KARUR VYSYA BANK LTD,INE036D01028,SBZ7PLF46,0.0%,Financials,India,A
KEC INTERNATIONAL LTD,INE389H01022,SB0YJJ274,0.0%,Industrials,India,B
KEI INDUSTRIES LTD,INE878B01027,SB1L9PJ62,0.0%,Industrials,India,
KOTAK MAHINDRA BANK LTD,INE237A01028,S61356614,0.0%,Financials,India,AA
KPIT TECHNOLOGIES LTD,INE04I401011,SBFMX0X42,0.0%,Information Technology,India,
KPR MILL LTD,INE930H01031,BRWT9SPL8,0.0%,Consumer Discretionary,India,
LARSEN & TOUBRO INFOTECH LTD,INE214T01019,SBD6F8V69,0.0%,Information Technology,India,AA
LARSEN AND TOUBRO LTD,INE018A01030,SB0166K86,0.0%,Industrials,India,B
LAURUS LABS LTD,INE947Q01028,SBMZ1CH26,0.0%,Health Care,India,A
LIC HOUSING FINANCE LTD,INE115A01026,S61010260,0.0%,Financials,India,BBB
LINDE INDIA LTD,INE473A01011,S61806949,0.0%,Materials,India,BB
LUPIN LTD,INE326A01037,S61437612,0.0%,Health Care,India,BB
LUX INDUSTRIES LTD,INE150G01020,SBD203Z46,0.0%,Consumer Discretionary,India,
MAHANAGAR GAS LTD,INE002S01010,SBD040461,0.0%,Utilities,India,
MAHINDRA AND MAHINDRA FINANCIAL SE,INE774D01024,SB8F88224,0.0%,Financials,India,AA
MAHINDRA AND MAHINDRA LTD,INE101A01026,S61001863,0.0%,Consumer Discretionary,India,A
MAHINDRA CIE AUTOMOTIVE LTD,INE536H01010,SB16NQ893,0.0%,Consumer Discretionary,India,B
MANAPPURAM FINANCE LTD,INE522D01027,S65704009,0.0%,Financials,India,
