Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
SIEMENS LTD,INE003A01024,SB15T5697,0.0%,Industrials,India,BBB
SKF INDIA LTD,INE640A01023,S64115108,0.0%,Industrials,India,
SOBHA LTD,INE671H01015,SB1BL5817,0.0%,Real Estate,India,BB
SONA BLW PRECISION FORGINGS LTD,INE073K01018,SBNR5NG59,0.0%,Consumer Discretionary,India,
SONATA SOFTWARE LTD,INE269A01021,S62899224,0.0%,Information Technology,India,
SRF LTD,INE647A01010,S63749477,0.0%,Materials,India,B
STATE BANK OF INDIA,INE062A01020,BRSQKQJJ2,0.0%,Financials,India,A
STERLITE TECHNOLOGIES LTD,INE089C01029,S62958558,0.0%,Information Technology,India,BBB
STRIDES PHARMA SCIENCE LTD,INE939A01011,S66905357,0.0%,Health Care,India,
SUMITOMO CHEMICAL INDIA LTD,INE258G01013,SBL1N1S95,0.0%,Materials,India,
SUN PHARMA ADVANCED RESEARCH COMPA,INE232I01014,SB1WT3461,0.0%,Health Care,India,B
SUN PHARMACEUTICAL INDUSTRIES LTD,INE044A01036,S65824831,0.0%,Health Care,India,CCC
SUN TV NETWORK LTD,INE424H01027,SB128WL34,0.0%,Communication Services,India,
SUNDRAM FASTENERS LTD,INE387A01021,S67308957,0.0%,Consumer Discretionary,India,
SUPREME INDUSTRIES LTD,INE195A01028,S61360731,0.0%,Materials,India,A
SUZLON ENERGY LTD,INE040H01021,SB0DX8R89,0.0%,Industrials,India,
SYNGENE INTERNATIONAL LTD,INE398R01022,SBYXXQB69,0.0%,Health Care,India,BBB
TANLA PLATFORMS LTD,INE483C01032,SB1LGZV92,0.0%,Information Technology,India,
TATA CHEMICALS LTD,INE092A01019,S61011672,0.0%,Materials,India,
TATA COMMUNICATIONS LTD,INE151A01013,S61147450,0.0%,Communication Services,India,BB
TATA CONSULTANCY SERVICES LTD,INE467B01029,SB01NPJ12,0.1%,Information Technology,India,AA
TATA CONSUMER PRODUCTS LTD,INE192A01025,S61214888,0.0%,Consumer Staples,India,A
TATA ELXSI LTD,INE670A01012,S62112040,0.0%,Information Technology,India,A
TATA MOTORS LTD,INE155A01022,BRSCUC384,0.0%,Consumer Discretionary,India,B
TATA POWER LTD,INE245A01021,BRSCY3XA2,0.0%,Utilities,India,BBB
TATA STEEL LTD,INE081A01012,S61011565,0.0%,Materials,India,B
TATA TELESERVICES MAHARASHTRA LTD,INE517B01013,S63260673,0.0%,Communication Services,India,
TCI EXPRESS LTD,INE586V01016,SBD606S48,0.0%,Industrials,India,
TEAMLEASE SERVICES LTD,INE985S01024,SBYT2WF32,0.0%,Industrials,India,
TECH MAHINDRA LTD,INE669C01036,BRSS9JBT3,0.0%,Information Technology,India,A
THE RAMCO CEMENTS,INE331A01037,S66981531,0.0%,Materials,India,B
THERMAX,INE152A01029,SB10SSP15,0.0%,Industrials,India,BBB
THINK & LEARN PVT LTD PRE IPO Prvt,,BPM4B16Y7,0.0%,,India,
TITAN COMPANY LTD,INE280A01028,S61393401,0.0%,Consumer Discretionary,India,BBB
TORRENT PHARMACEUTICALS LTD,INE685A01028,SB0XPSB87,0.0%,Health Care,India,BB
TRENT LTD,INE849A01020,SBDDRN328,0.0%,Consumer Discretionary,India,BBB
TRIDENT LTD,INE064C01022,SBL0KWD31,0.0%,Consumer Discretionary,India,
TTK PRESTIGE LTD,INE690A01028,SBMG4WZ88,0.0%,Consumer Discretionary,India,A
TUBE INVESTMENTS OF INDIA LTD,INE974X01010,SBD3R8D71,0.0%,Consumer Discretionary,India,
TVS MOTOR COMPANY LTD,INE494B01023,S67265488,0.0%,Consumer Discretionary,India,A
ULTRATECH CEMENT LTD,INE481G01011,SB01GZF61,0.0%,Materials,India,B
UNITED SPIRITS LTD,INE854D01024,SBYWFSB75,0.0%,Consumer Staples,India,A
UPL LTD,INE628A01036,SB0L0W356,0.0%,Materials,India,BBB
UTI ASSET MANAGEM LTD,INE094J01016,SBLF78204,0.0%,Financials,India,
V MART RETAIL LTD,INE665J01013,SB8XF8R04,0.0%,Consumer Discretionary,India,
VAKRANGEE,INE051B01021,SB7T1QT31,0.0%,Information Technology,India,
VARDHMAN TEXTILES LTD,INE825A01020,SBMFCZG51,0.0%,Consumer Discretionary,India,
VEDANTA LTD,INE205A01025,S61360400,0.0%,Materials,India,B
VINATI ORGANICS LTD,INE410B01037,SBKKKN115,0.0%,Materials,India,B
VIP INDUSTRIES LTD,INE054A01027,SB7648C28,0.0%,Consumer Discretionary,India,B
VODAFONE IDEA LTD,INE669E01016,SB1MP4H46,0.0%,Communication Services,India,BB
VOLTAS LTD,INE226A01021,SB1FCQX22,0.0%,Industrials,India,
WELSPUN INDIA LTD,INE192B01031,SBYSVNL43,0.0%,Consumer Discretionary,India,
WHIRLPOOL OF INDIA LTD,INE716A01013,S62917901,0.0%,Consumer Discretionary,India,
WIPRO LTD,INE075A01022,S62060512,0.0%,Information Technology,India,BBB
WNS HOLDINGS ADR REPSG  LTD,US92932M1018,92932M101,0.0%,Information Technology,India,
YES BANK LTD,INE528G01035,SBL6CR271,0.0%,Financials,India,BBB
ZEE ENTERTAINMENT ENTERPRISES LTD,INE256A01028,S61885356,0.0%,Communication Services,India,B
ZENSAR TECHNOLOGIES LTD,INE520A01027,SBFYZ6V84,0.0%,Information Technology,India,
ZOMATO LTD,INE758T01015,SBL6P2108,0.0%,Consumer Discretionary,India,A
