number,date,company,peer_group_root,type_template,type_listing,region,country,isin,total_esg_score,governance_score,social_score,environment_score,e_1_1,e_1_2,e_1_3,e_1_4,e_1_5,e_1_6,e_1_7,e_1_8,e_1_9,e_1_10,e_1_11,e_1_12,e_1_1_1,e_1_2_1,e_1_2_2,e_1_2_3,e_1_2_4,e_1_2_6,e_1_2_7,e_1_2_8,e_1_3_2,e_1_3_3,e_1_3_4,e_1_3_5,e_1_7_0,e_1_7_1,e_1_7_2,e_2_1,e_2_2,e_2_1_2,e_2_1_1,e_2_1_3,e_2_1_4,e_2_1_5,e_2_1_6,e_2_1_7,e_2_1_8,e_2_1_9,e_2_1_10,e_3_2,e_3_1_1,e_3_1_2,e_3_1_3,e_3_1_4,e_3_1_5,e_3_1_6,e_3_1_7,e_3_1_8,e_3_1_9,e_3_1_10,e_3_1_11,e_3_1_12,e_3_1_13,e_3_1_14,e_3_1_15,e_3_1_16,e_3_1_17
1,20190902,Zurich Finance (UK) Plc,Insurance,A,Private,Europe,United Kingdom,SUSTE13EEC7B,83.65,85.47,75.21,90.33,0.5,0.8,0.25,0.5,0.5,0.5,.,0.125,0.5,0.375,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,0.6,1,.,.,.,.,.,.,.,.,.,.,4.95,.,.,.,.,.,.,.,.,.,.,6,.,.,.,6,.,.
2,20181101,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3,20190603,ZPG PLC,Software & Services,B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,20180402,ZPG PLC,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.42,59.9,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,20181203,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6,20190503,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7,20180801,ZPG PLC,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.37,59.7,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8,20181001,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9,20190304,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10,20190204,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11,20180502,ZPG PLC,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.42,59.9,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12,20190701,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
13,20180703,ZPG PLC,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.37,59.7,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14,20190401,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15,20190103,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,20180903,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,47.37,59.7,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,20180604,ZPG PLC,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.42,59.9,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18,20170908,ZPG Plc,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,49.06,67,42.03,44.67,0.5,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19,20180201,ZPG Plc,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.42,59.9,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20,20171101,ZPG Plc,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.42,59.9,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21,20180109,ZPG Plc,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.42,59.9,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
22,20171206,ZPG Plc,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.42,59.9,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
23,20171002,ZPG Plc,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.42,59.9,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24,20180301,ZPG Plc,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.42,59.9,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
25,20180703,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.17,52.9,57.3,42.46,0.5,0.6,0,0.5,0,0.5,.,0.1,0,0.2,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.2,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
26,20180801,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.17,52.9,57.3,42.46,0.5,0.6,0,0.5,0,0.5,.,0.1,0,0.2,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.2,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
27,20190204,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.17,52.9,57.3,42.46,0.5,0.6,0,0.5,0,0.5,.,0.125,0,0.25,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
28,20171002,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1046237431,51.45,56.87,54.96,40.87,0.375,0.2,0,0.5,0,0,.,0.125,0.1,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0.6,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
29,20190801,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,56.16,53.36,65.06,50.2,0.5,1,0,0.5,0,0.5,.,0.25,0.5,0.5,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,0.8,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
30,20180109,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1046237431,51.45,56.87,54.96,40.87,0.375,0.2,0,0.5,0,0,.,0.125,0.1,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0.6,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
31,20170908,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1046237431,51.51,56.04,57.15,39.75,0.25,0.2,0,0.5,0,0,.,0.125,0,0,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0.6,1,.,.,.,.,.,.,.,.,.,.,4.9999,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
32,20190603,Yorkshire Building Society,Banks,A,Private,Europe,United Kingdom,XS1203856072,51.92,52.9,57.3,44.95,0.5,0.6,0,0.5,0,0.5,.,0.125,0.5,0.5,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
33,20190401,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.52,52.9,57.3,43.62,0.5,0.6,0,0.5,0,0.5,.,0.125,0.5,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
34,20181101,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.17,52.9,57.3,42.46,0.5,0.6,0,0.5,0,0.5,.,0.125,0,0.25,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
35,20171206,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1046237431,51.45,56.87,54.96,40.87,0.375,0.2,0,0.5,0,0,.,0.125,0.1,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0.6,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
36,20181203,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.17,52.9,57.3,42.46,0.5,0.6,0,0.5,0,0.5,.,0.125,0,0.25,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
37,20190304,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.52,52.9,57.3,43.62,0.5,0.6,0,0.5,0,0.5,.,0.125,0.5,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
38,20180402,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS0616210752,48.65,49.51,55.64,40.12,0.5,0.2,0,0.5,0,0,.,0.1,0.1,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
39,20181001,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.17,52.9,57.3,42.46,0.5,0.6,0,0.5,0,0.5,.,0.1,0,0.2,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.2,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
40,20171101,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1046237431,51.45,56.87,54.96,40.87,0.375,0.2,0,0.5,0,0,.,0.125,0.1,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0.6,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
41,20190701,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,55.09,53.36,61.73,50.2,0.5,1,0,0.5,0,0.5,.,0.25,0.5,0.5,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,0.8,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
42,20180502,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1046237431,48.65,49.51,55.64,40.12,0.5,0.2,0,0.5,0,0,.,0.1,0.1,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
43,20180301,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1046237431,48.65,49.51,55.64,40.12,0.5,0.2,0,0.5,0,0,.,0.1,0.1,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
44,20190103,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.17,52.9,57.3,42.46,0.5,0.6,0,0.5,0,0.5,.,0.125,0,0.25,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
45,20180201,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1046237431,51.45,56.87,54.96,40.87,0.375,0.2,0,0.5,0,0,.,0.125,0.1,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0.6,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
46,20180903,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.17,52.9,57.3,42.46,0.5,0.6,0,0.5,0,0.5,.,0.1,0,0.2,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.2,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
47,20180604,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,48.65,49.51,55.64,40.12,0.5,0.2,0,0.5,0,0,.,0.1,0.1,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
48,20190503,Yorkshire Building Society,Banks,Type_A,Private,Europe,United Kingdom,XS1203856072,51.52,52.9,57.3,43.62,0.5,0.6,0,0.5,0,0.5,.,0.125,0.5,0.1,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.25,.,.,0,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
49,20190902,Yorkshire Building Society,Banks,A,Private,Europe,United Kingdom,XS1203856072,56.16,53.36,65.06,50.2,0.5,1,0,0.5,0,0.5,.,0.25,0.5,0.5,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,0.8,1,.,.,.,.,.,.,.,.,.,.,5.02,.,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.
50,20190503,WS Atkins plc,Construction & Engineering,Type_B,Private,Europe,United Kingdom,SUST4301BFBA,62.59,70,60.8,57.54,0.4302,1.1472,0.2868,0.4302,0.2868,0.2868,.,0,0.2868,0,0,6.51,.,.,.,.,.,.,.,.,0,0.2868,0.2868,.,0.1434,.,.,0.4249,2,0.6373,0,.,.,.,.,.,.,.,.,2.9995,0.7966,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.
51,20190603,WS Atkins plc,Construction & Engineering,B,Private,Europe,United Kingdom,US92935U1007,62.59,70,60.8,57.54,0.4302,1.1472,0.2868,0.4302,0.2868,0.2868,.,0,0.2868,0,0,6.51,.,.,.,.,.,.,.,.,0,0.2868,0.2868,.,0.1434,.,.,0.4249,2,0.6373,0,.,.,.,.,.,.,.,.,2.9995,0.7966,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.
52,20180402,WS Atkins plc,Commercial Services,Type_B,Private,Europe,United Kingdom,US92935U1007,66.78,71.15,59.39,70.5,0,7,.,.,2,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,1.2,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
53,20180301,WS Atkins plc,Commercial Services,Type_B,Private,Europe,United Kingdom,US92935U1007,66.78,71.15,59.39,70.5,0,7,.,.,2,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,1.2,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
54,20180109,WS Atkins plc,Commercial Services,Type_B,Private,Europe,United Kingdom,US92935U1007,66.78,71.15,59.39,70.5,0,7,.,.,2,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,1.2,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
55,20171206,WS Atkins plc,Commercial Services,Type_B,Private,Europe,United Kingdom,US92935U1007,66.78,71.15,59.39,70.5,0,7,.,.,2,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,1.2,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
56,20180201,WS Atkins plc,Commercial Services,Type_B,Private,Europe,United Kingdom,US92935U1007,66.78,71.15,59.39,70.5,0,7,.,.,2,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,1.2,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
57,20180502,WS Atkins plc,Commercial Services,Type_B,Private,Europe,United Kingdom,US92935U1007,66.78,71.15,59.39,70.5,0,7,.,.,2,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,1.2,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
58,20190902,WS Atkins plc,Construction & Engineering,B,Private,Europe,United Kingdom,US92935U1007,62.59,70,60.8,57.54,0.4302,1.1472,0.2868,0.4302,0.2868,0.2868,.,0,0.2868,0,0,6.51,.,.,.,.,.,.,.,.,0,0.2868,0.2868,.,0.1434,.,.,0.4249,2,0.6373,0,.,.,.,.,.,.,.,.,2.9995,0.7966,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.
59,20171101,WS Atkins plc,Commercial Services,Type_B,Private,Europe,United Kingdom,US92935U1007,66.78,71.15,59.39,70.5,0,7,.,.,2,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,1.2,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
60,20190401,WS Atkins plc,Construction & Engineering,Type_B,Private,Europe,United Kingdom,US92935U1007,62.59,70,60.8,57.54,0.4302,1.1472,0.2868,0.4302,0.2868,0.2868,.,0,0.2868,0,0,6.51,.,.,.,.,.,.,.,.,0,0.2868,0.2868,.,0.1434,.,.,0.4249,2,0.6373,0,.,.,.,.,.,.,.,.,2.9995,0.7966,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.
61,20171002,WS Atkins plc,Commercial Services,Type_B,Private,Europe,United Kingdom,US92935U1007,66.78,71.15,59.39,70.5,0,7,.,.,2,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,1.2,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
62,20170908,WS Atkins plc,Commercial Services,Type_B,Public,Europe,United Kingdom,US92935U1007,66.36,69.5,59.39,70.5,0,7,.,.,2,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,1.2,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
63,20190701,WS Atkins plc,Construction & Engineering,Type_B,Private,Europe,United Kingdom,US92935U1007,62.59,70,60.8,57.54,0.4302,1.1472,0.2868,0.4302,0.2868,0.2868,.,0,0.2868,0,0,6.51,.,.,.,.,.,.,.,.,0,0.2868,0.2868,.,0.1434,.,.,0.4249,2,0.6373,0,.,.,.,.,.,.,.,.,2.9995,0.7966,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.
64,20190801,WS Atkins plc,Construction & Engineering,Type_B,Private,Europe,United Kingdom,US92935U1007,62.59,70,60.8,57.54,0.4302,1.1472,0.2868,0.4302,0.2868,0.2868,.,0,0.2868,0,0,6.51,.,.,.,.,.,.,.,.,0,0.2868,0.2868,.,0.1434,.,.,0.4249,2,0.6373,0,.,.,.,.,.,.,.,.,2.9995,0.7966,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.
65,20190902,WPP PLC,Media,A,Public,Europe,United Kingdom,JE00B8KF9B49,71.15,65.54,72.61,73.84,0.6,0.96,0.4,0.8,0.4,0.4,.,0.4,0.4,0.4,0.4,4,.,.,.,.,.,.,.,.,.,.,.,.,0.8,.,.,0.3,3,1,0,.,.,.,.,0.825,1.375,.,.,2.0004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
66,20180903,WPP PLC,Media,Type_A,Public,Europe,United Kingdom,JE00B8KF9B49,67.15,65.86,65.05,72.64,0.6,0.9,0.4,0.8,0.4,0.4,.,0.4,0.2,0.3,0.4,4,.,.,.,.,.,.,.,.,.,.,.,.,0.8,.,.,0.3,3,1,0,.,.,.,.,0.8,1.3,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
67,20180703,WPP PLC,Media,Type_A,Public,Europe,United Kingdom,JE00B8KF9B49,67.17,65.94,65.05,72.64,0.6,0.9,0.4,0.8,0.4,0.4,.,0.4,0.2,0.3,0.4,4,.,.,.,.,.,.,.,.,.,.,.,.,0.8,.,.,0.3,3,1,0,.,.,.,.,0.8,1.3,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
68,20190701,WPP PLC,Media,Type_A,Public,Europe,United Kingdom,JE00B8KF9B49,71.15,65.54,72.61,73.84,0.6,0.96,0.4,0.8,0.4,0.4,.,0.4,0.4,0.4,0.4,4,.,.,.,.,.,.,.,.,.,.,.,.,0.8,.,.,0.3,3,1,0,.,.,.,.,0.825,1.375,.,.,2.0004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
69,20181001,WPP PLC,Media,Type_A,Public,Europe,United Kingdom,JE00B8KF9B49,67.15,65.86,65.05,72.64,0.6,0.9,0.4,0.8,0.4,0.4,.,0.4,0.2,0.3,0.4,4,.,.,.,.,.,.,.,.,.,.,.,.,0.8,.,.,0.3,3,1,0,.,.,.,.,0.8,1.3,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
