Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
BANK OF HANGZHOU LTD A,CNE100002GQ4,SBYW5MZ99,0.0%,Financials,China,BBB
BANK OF JIANGSU CORPORATION LTD A,CNE100002G76,SBYW5MY82,0.0%,Financials,China,B
BANK OF NANJING LTD A,CNE100000627,SBP3R5292,0.0%,Financials,China,BBB
BANK OF NINGBO LTD A,CNE1000005P7,SBD5CP060,0.0%,Financials,China,BBB
BANK OF SHANGHAI LTD A,CNE100002FM5,SBD8P9J90,0.0%,Financials,China,BBB
BAOSHAN IRON & STEEL LTD A,CNE0000015R4,SBP3R2Y03,0.0%,Materials,China,BB
BAOZUN ADR REPRESENTING  INC,US06684L1035,06684L103,0.0%,Consumer Discretionary,China,A
BBMG CORP A,CNE1000010M4,SBP3R5N08,0.0%,Materials,China,BBB
BEIGENE ADS REPRESENTING LTD,US07725L1026,07725L102,0.0%,Health Care,China,BBB
BEIGENE LTD,KYG1146Y1017,SBGDY2604,0.0%,Health Care,China,BBB
BEIJING AIRDOC TECHNOLOGY CLASS H,CNE100004QQ9,SBLN7G282,0.0%,Health Care,China,
BEIJING CAPITAL INTERNATIONAL AIRP,CNE100000221,S62084223,0.0%,Industrials,China,BB
BEIJING CHUNLIZHENGDA MEDICAL INST,CNE100001TP1,SBVVPXP65,0.0%,Health Care,China,
BEIJING DABEINONG TECHNOLOGY GROUP,CNE100000N61,SBD5CMP03,0.0%,Consumer Staples,China,CCC
BEIJING EASPRING MATERIAL TECHNOLO,CNE100000NN1,SBD760M31,0.0%,Materials,China,BB
BEIJING ENLIGHT MEDIA LTD A,CNE100001617,SBD5CN792,0.0%,Communication Services,China,B
BEIJING ENTERPRISES HOLDINGS LTD,HK0392044647,S60816907,0.0%,Utilities,China,BBB
BEIJING ENTERPRISES WATER GROUP LT,BMG0957L1090,SB01YCG04,0.0%,Utilities,China,BBB
BEIJING JINGNENG CLEAN ENERGY LTD,CNE100001336,SB688XD17,0.0%,Utilities,China,
BEIJING KINGSOFT OFFICE SOFTWARE I,CNE100003PM2,SBNR4NQ26,0.0%,Information Technology,China,BB
BEIJING NEW BUILDING MATERIALS PUB,CNE000000QS4,SBD5CJ262,0.0%,Industrials,China,CCC
BEIJING ORIENTAL YUHONG WATERPROOF,CNE100000CS3,SBD5CFP16,0.0%,Materials,China,
BEIJING ORIGINWATER TECHNOLOGY LTD,CNE100000N95,SBD5CNZ75,0.0%,Industrials,China,B
BEIJING ROBOROCK TECHNOLOGY LTD A,CNE100003R80,SBNR4NT56,0.0%,Consumer Discretionary,China,CCC
BEIJING SHIJI INFORMATION TECHNOLO,CNE100000668,SBD5CMX87,0.0%,Information Technology,China,BBB
