Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
COUNTRY GARDEN HOLDINGS LTD,KYG245241032,SB1VKYN63,0.0%,Real Estate,China,B
COUNTRY GARDEN SERVICES HOLDINGS L,KYG2453A1085,SBDQZP481,0.0%,Real Estate,China,A
CRRC CORP LTD A,CNE100000CP9,SBP3R3586,0.0%,Industrials,China,CCC
CRRC CORP LTD H,CNE100000BG0,SB2R2ZC94,0.0%,Industrials,China,CCC
CSPC PHARMACEUTICAL GROUP LTD,HK1093012172,S61919973,0.0%,Health Care,China,A
CSTONE PHARMACEUTICALS,KYG2588M1006,SBHZ65731,0.0%,Health Care,China,BBB
DAAN GENE LTD A,CNE000001KP1,SBD5CKW33,0.0%,Health Care,China,B
DADA NEXUS  ADS REPRESENTING  LTD,US23344D1081,23344D108,0.0%,Consumer Discretionary,China,BB
DALI FOODS GROUP LTD,KYG2743Y1061,BRSX2E9W6,0.0%,Consumer Staples,China,BBB
DAQIN RAILWAY LTD A,CNE000001NG4,SBP3R2N96,0.0%,Industrials,China,CCC
DAQO NEW ENERGY ADR REPRESENTING,US23703Q2030,23703Q203,0.0%,Information Technology,China,B
DASHENLIN PHARMACEUTICAL GROUP LTD,CNE100002RG2,SBFB4S787,0.0%,Consumer Staples,China,B
DHC SOFTWARE LTD A,CNE000001NL4,SBD5CNL39,0.0%,Information Technology,China,B
DIFFER GROUP HOLDING LTD,KYG2760V1005,SBH576T55,0.0%,Financials,China,
DO-FLUORIDE NEW MATERIALS LTD A,CNE100000P85,SBD5C8H45,0.0%,Materials,China,CCC
DONG-E-E-JIAO LTD A,CNE0000006Y9,SBD5CM612,0.0%,Health Care,China,BB
DONGFANG ELECTRIC CORP LTD A,CNE000000J28,SBP3R6043,0.0%,Industrials,China,B
DONGFANG ELECTRIC CORP LTD H,CNE100000304,S62785662,0.0%,Industrials,China,B
DONGFENG MOTOR GROUP LTD H,CNE100000312,SB0PH5N31,0.0%,Consumer Discretionary,China,BBB
DONGXING SECURITIES LTD A,CNE100002177,SBYQDMD71,0.0%,Financials,China,CCC
DONGYUE GROUP LTD,KYG2816P1072,SB29MXW38,0.0%,Materials,China,B
DOUYU INTERNATIONAL HOLDINGS ADR L,US25985W1053,SBJVJP367,0.0%,Communication Services,China,BB
EAST MONEY INFORMATION LTD A,CNE100000MD4,SBD5CPC83,0.0%,Financials,China,B
ECOVACS ROBOTICS LTD A,CNE1000031N8,SBDFWW616,0.0%,Consumer Discretionary,China,BB
EHANG HOLDINGS ADR LTD,US26853E1029,26853E102,0.0%,Industrials,China,
ENN ENERGY HOLDINGS LTD,KYG3066L1014,S63339378,0.0%,Utilities,China,A
ENN NATURAL GAS LTD A,CNE000000DG7,SBYYFJJ08,0.0%,Utilities,China,BB
ESR CAYMAN LTD,KYG319891092,SBHNCRK04,0.0%,Real Estate,China,A
EVE ENERGY LTD A,CNE100000GS4,SBD5C7G63,0.0%,Industrials,China,BB
EVERBRIGHT SECURITIES LTD A,CNE100000FD8,SBZ0D1Y47,0.0%,Financials,China,BB
EVEREST MEDICINES LTD,KYG3224E1061,SBN7HR819,0.0%,Health Care,China,
EXCELLENCE COMMERCIAL PROPERTY & F,KYG3235S1021,SBKSBH699,0.0%,Real Estate,China,
FANGDA CARBON NEW MATERIAL LTD A,CNE000001CC6,SBP3R7V21,0.0%,Industrials,China,CCC
FANHUA ADR REPRESENTING  INC,US30712A1034,30712A103,0.0%,Financials,China,
FAR EAST HORIZON LTD,HK0000077468,SB63DLB51,0.0%,Financials,China,A
FAW JIEFANG GROUP LTD A,CNE000000R85,SBD5CLN15,0.0%,Consumer Discretionary,China,CCC
FIBERHOME TELECOMMUNICATION TECHNO,CNE0000018P2,SBP3R8866,0.0%,Information Technology,China,CCC
FIH MOBILE LTD,KYG3472Y1017,SBBQ2Z677,0.0%,Information Technology,China,BB
FINVOLUTION GROUP ADR,US31810T1016,31810T101,0.0%,Financials,China,
FIRE ROCK HOLDINGS LTD,KYG3524S1286,SBN0TM341,0.0%,Communication Services,China,
FIRST CAPITAL SECURITIES LTD A,CNE1000027G0,SBD73MV77,0.0%,Financials,China,BB
FLAT GLASS GROUP LTD A,CNE100003HV0,SBJLMPM49,0.0%,Information Technology,China,B
FLAT GLASS GROUP LTD H,CNE100002375,SBYQ97743,0.0%,Information Technology,China,B
FOCUS MEDIA INFORMATION TECHNOLOGY,CNE000001KK2,SBD5CND53,0.0%,Communication Services,China,BB
FOSHAN HAI TIAN FLAVOURING & FOOD,CNE100001SL2,SBTFRHX00,0.0%,Consumer Staples,China,B
FOSUN INTERNATIONAL LTD,HK0656038673,SB1Z7FX02,0.0%,Industrials,China,AA
FOUNDER SECURITIES LTD A,CNE1000015Y8,SBP3R4113,0.0%,Financials,China,BB
FOXCONN INDUSTRIAL INTERNET LTD A,CNE1000031P3,SBG20N997,0.0%,Information Technology,China,BB
FTSE CHINA A50 JUN 22,SGXDB0594661,XUM220222,0.0%,,China,
FU SHOU YUAN INTERNATIONAL GROUP L,KYG371091086,SBH4TZ739,0.0%,Consumer Discretionary,China,AA
FUFENG GROUP LTD,KYG368441195,SB1P1JS57,0.0%,Materials,China,
FUJIAN SUNNER DEVELOPMENT LTD A,CNE100000G78,SBD5CHS84,0.0%,Consumer Staples,China,B
FUYAO GLASS INDUSTRY GROUP LTD A,CNE000000230,SBP3R6K41,0.0%,Consumer Discretionary,China,BBB
FUYAO GLASS INDUSTRY GROUP LTD H,CNE100001TR7,BRSS8KPE9,0.0%,Consumer Discretionary,China,BBB
GANFENG LITHIUM LTD A,CNE100000SF6,SBD5CB194,0.0%,Materials,China,BB
GANFENG LITHIUM LTD H,CNE1000031W9,SBZ9NS110,0.0%,Materials,China,BB
GCL SYSTEM INTEGRATION TECHNOLOGY,CNE100000WW3,SBD6QVT85,0.0%,Information Technology,China,CCC
GD POWER DEVELOPMENT LTD A,CNE000000PC0,SBP3R3J24,0.0%,Utilities,China,CCC
GDS HOLDINGS LIMITED ADR REPRESENT,US36165L1089,SBD6FLL79,0.0%,Information Technology,China,BBB
GDS HOLDINGS LTD CLASS A,KYG3902L1095,SBMG40P48,0.0%,Information Technology,China,BBB
GEELY AUTOMOBILE HOLDINGS LTD,KYG3777B1032,S65318271,0.0%,Consumer Discretionary,China,BBB
GEM LTD A,CNE100000KT4,SBD5CFW83,0.0%,Materials,China,BBB
GEMDALE CORP A,CNE000001790,SBP3R3Q91,0.0%,Real Estate,China,BB
GENERTEC UNIVERSAL MEDICAL GROUP L,HK0000255361,SBYW75340,0.0%,Financials,China,
GENSCRIPT BIOTECH CORP,KYG3825B1059,SBD9Q2J27,0.0%,Health Care,China,BBB
GF SECURITIES LTD A,CNE0000008L2,SBD5CQ365,0.0%,Financials,China,BB
GF SECURITIES LTD H,CNE100001TQ9,BRSSC5Y23,0.0%,Financials,China,BB
GIANT NETWORK GROUP LTD A,CNE1000010R3,SBD6QVW16,0.0%,Communication Services,China,B
GIGA DEVICE SEMICONDUCTOR (BEIJING,CNE1000030S9,SBHWLWF82,0.0%,Information Technology,China,CCC
GINLONG TECHNOLOGIES LTD A,CNE100003JZ7,SBMQBTQ93,0.0%,Industrials,China,B
GOERTEK INC A,CNE100000BP1,SBD5CNT15,0.0%,Information Technology,China,BB
GOME RETAIL HOLDINGS LTD,BMG3978C1249,SB01Z8S74,0.0%,Consumer Discretionary,China,BB
GOTION HIGH-TECH LTD A,CNE000001NY7,SBD5CJ718,0.0%,Industrials,China,BB
GREAT WALL MOTOR LTD A,CNE1000018V8,SBP3R3255,0.0%,Consumer Discretionary,China,BBB
GREAT WALL MOTOR LTD H,CNE100000338,S67182550,0.0%,Consumer Discretionary,China,BBB
GREE ELECTRIC APPLIANCES INC OF ZH,CNE0000001D4,SBD5CPN99,0.0%,Consumer Discretionary,China,B
GREENLAND HOLDINGS GROUP CORPORATI,CNE000000388,SBZ3F5X41,0.0%,Real Estate,China,BB
GREENTOWN CHINA LTD,KYG4100M1050,SB17N9P66,0.0%,Real Estate,China,BB
GREENTOWN MANAGEMENT HOLDINGS LTD,KYG4102M1033,SBKWGV132,0.0%,Industrials,China,
GREENTOWN SERVICE GROUP LTD,KYG410121084,SBD20C135,0.0%,Real Estate,China,BBB
GRG BANKING EQUIPMENT LTD A,CNE100000650,SBD5CLH53,0.0%,Information Technology,China,B
GSX TECHEDU  ADR REPRESENTING  CLA,US36257Y1091,SBK1VBN17,0.0%,Consumer Discretionary,China,CCC
GUANGDONG HAID GROUP LTD A,CNE100000HP8,SBD5CJ601,0.0%,Consumer Staples,China,B
GUANGDONG INVESTMENT LTD,HK0270001396,S69131688,0.0%,Utilities,China,BB
GUANGDONG KINLONG HARDWARE PRODUCT,CNE100002649,SBD73MS48,0.0%,Industrials,China,B
GUANGHUI ENERGY LTD A,CNE0000012G4,SBP3R3N60,0.0%,Energy,China,CCC
GUANGZHOU AUTOMOBILE GROUP LTD A,CNE100001NQ2,SBP3R4774,0.0%,Consumer Discretionary,China,BB
GUANGZHOU AUTOMOBILE GROUP LTD H,CNE100000Q35,SB4339954,0.0%,Consumer Discretionary,China,BB
GUANGZHOU BAIYUNSHAN PHARMACEUTICA,CNE000001733,SBP3R4Q65,0.0%,Health Care,China,A
GUANGZHOU HAIGE COMMUNICATIONS GRO,CNE100000T24,SBD5CM729,0.0%,Information Technology,China,B
GUANGZHOU KINGMED DIAGNOSTICS GROU,CNE100002VW1,SBFYX6890,0.0%,Health Care,China,AA
GUANGZHOU R&F PROPERTIES LTD H,CNE100000569,SB19H8Y87,0.0%,Real Estate,China,BB
GUANGZHOU SHIYUAN ELECTRONIC TECHN,CNE100002K47,SBFCCR416,0.0%,Information Technology,China,B
GUANGZHOU TINCI MATERIALS TECHNOLO,CNE100001RG4,SBD5LR637,0.0%,Materials,China,B
GUANGZHOU YUEXIU FINANCIAL HOLDING,CNE0000013M0,SBD5C8L81,0.0%,Financials,China,BB
GUOLIAN SECURITIES LTD A,CNE1000041D8,SBMCZBW58,0.0%,Financials,China,BBB
GUOSEN SECURITIES LTD A,CNE100001WS9,SBD5CPR38,0.0%,Financials,China,B
GUOTAI JUNAN SECURITIES LTD A,CNE1000022F3,SBYQDMZ93,0.0%,Financials,China,B
GUOYUAN SECURITIES LTD A,CNE000000QZ9,SBD5CNY68,0.0%,Financials,China,BB
H-SHARES INDEX JUN 22,,HCM220220,0.0%,,China,
HAICHANG OCEAN PARK HOLDINGS LTD,KYG4231A1031,SBKHDS309,0.0%,Consumer Discretionary,China,
HAIDILAO INTERNATIONAL HOLDING LTD,KYG4290A1013,SBGN97153,0.0%,Consumer Discretionary,China,B
HAIER SMART HOME CLASS H LTD H,CNE1000048K8,SBLD4QD00,0.0%,Consumer Discretionary,China,BB
HAIER SMART HOME LTD A,CNE000000CG9,SBP3R3G92,0.0%,Consumer Discretionary,China,BB
HAINAN MEILAN INTERNATIONAL AIRPOR,CNE1000003B2,S65605081,0.0%,Industrials,China,
HAITIAN INTERNATIONAL LTD,KYG4232C1087,SB1L2RC21,0.0%,Industrials,China,CCC
HAITONG SECURITIES COMPANY LTD H,CNE1000019K9,SB71SXC44,0.0%,Financials,China,BBB
HAITONG SECURITIES LTD CLASS A,CNE000000CK1,SBP3R2S42,0.0%,Financials,China,BBB
HANGZHOU FIRST APPLIED MATERIAL LT,CNE100001VX1,SBYYFJR82,0.0%,Information Technology,China,BB
HANGZHOU LION ELECTRONICS LTD A,CNE100004314,SBP91NJ82,0.0%,Information Technology,China,B
HANGZHOU OXYGEN PLANT GROUP LTD A,CNE100000Q68,SBFY8GG22,0.0%,Materials,China,CCC
HANGZHOU ROBAM APPLIANCES LTD A,CNE100000WY9,SBD5CGX64,0.0%,Consumer Discretionary,China,BBB
HANGZHOU SILAN MICROELECTRONICS LT,CNE000001DN1,SBP3RCV79,0.0%,Information Technology,China,B
HANGZHOU TIGERMED CONSULTING LTD A,CNE100001KV8,SBD5CCK59,0.0%,Health Care,China,BBB
HANGZHOU TIGERMED CONSULTING LTD H,CNE1000040M1,SBMZC7F84,0.0%,Health Care,China,BBB
HANSOH PHARMACEUTICAL GROUP LTD,KYG549581067,SBJYKB725,0.0%,Health Care,China,A
HBIS COMPANY LTD A,CNE000000H20,SBD5CNS08,0.0%,Materials,China,CCC
HEALTH AND HAPPINESS (H&H) INTERNA,KYG4387E1070,SBF5L8M05,0.0%,Consumer Staples,China,A
HEILONGJIANG AGRICULTURE LTD A,CNE0000019Z9,SBFF5BX44,0.0%,Consumer Staples,China,CCC
HELENS INTERNATIONAL HOLDINGS LTD,KYG4469K1040,SBPF0N667,0.0%,Consumer Discretionary,China,
HELLO GROUP ADR INC,US4234031049,423403104,0.0%,Communication Services,China,B
HENAN SHENHUO COAL & POWER LTD A,CNE000001097,SBD6QWQ29,0.0%,Materials,China,
HENAN SHUANGHUI INVESTMENT & DEVEL,CNE000000XM3,SBD5CP847,0.0%,Consumer Staples,China,BB
HENGAN INTERNATIONAL GROUP LTD,KYG4402L1510,S61362331,0.0%,Consumer Staples,China,B
HENGLI PETROCHEMICAL LTD A,CNE0000018V0,SBFB4HL51,0.0%,Materials,China,CCC
HENGTONG OPTIC ELECTRIC LTD A,CNE000001FQ9,SBP3RFS50,0.0%,Information Technology,China,CCC
HENGYI PETROCHEMICAL LTD A,CNE0000001J1,SBD5M1L93,0.0%,Materials,China,B
HITHINK ROYALFLUSH INFORMATION NET,CNE100000JG3,SBD5CN461,0.0%,Financials,China,B
HOLLYSYS AUTOMATION TECHNOLOGIES L,VGG456671053,SB0JCH500,0.0%,Information Technology,China,
HONGFA TECHNOLOGY LTD A,CNE000000JK6,SBYQDM935,0.0%,Industrials,China,CCC
HOPE EDUCATION GROUP LTD,KYG4600E1089,SBF0XL552,0.0%,Consumer Discretionary,China,
HOPSON DEVELOPMENT HOLDINGS LTD,BMG4600H1198,SBMXJW562,0.0%,Real Estate,China,BBB
HOSHINE SILICON INDUSTRY LTD A,CNE100002V10,SBFYQH852,0.0%,Materials,China,CCC
HUA HONG SEMICONDUCTOR LTD,HK0000218211,SBRB38573,0.0%,Information Technology,China,B
HUA MEDICINE (PROPOSED),KYG4644K1022,SBF3S3D95,0.0%,Health Care,China,
HUA XIA BANK LTD A,CNE000001FW7,SBP3R2T58,0.0%,Financials,China,BBB
HUADIAN POWER INTERNATIONAL CORP L,CNE000001LJ2,SBP3R6373,0.0%,Utilities,China,CCC
HUADONG MEDICINE LTD A,CNE0000011S1,SBD5CM943,0.0%,Health Care,China,BBB
HUAFON CHEMICAL LTD A,CNE000001NK6,SBD5M0890,0.0%,Materials,China,CCC
HUAGONG TECH LTD A,CNE000001303,SBD5CCY96,0.0%,Information Technology,China,B
HUAIBEI MINING HOLDINGS LTD A,CNE000001HH4,SBS7K3763,0.0%,Materials,China,
HUALAN BIOLOGICAL ENGINEERING INC,CNE000001JN8,SBD5CL192,0.0%,Health Care,China,CCC
HUANENG POWER INTERNATIONAL INC A,CNE000001998,SBP3R3149,0.0%,Utilities,China,CCC
HUANENG POWER INTERNATIONAL INC H,CNE1000006Z4,S60996717,0.0%,Utilities,China,CCC
HUATAI SECURITIES LTD A,CNE100000LQ8,SBP3R3B48,0.0%,Financials,China,A
HUATAI SECURITIES LTD H,CNE100001YQ9,BRSTBYCM9,0.0%,Financials,China,A
HUAXI SECURITIES LTD A,CNE1000033J2,SBHQPRV76,0.0%,Financials,China,BB
HUAXIN CEMENT LTD A,CNE000000DC6,SBP3RD360,0.0%,Materials,China,BB
HUAYU AUTOMOTIVE SYSTEMS LTD A,CNE000000M15,SBP3R4T96,0.0%,Consumer Discretionary,China,CCC
HUAZHU GROUP ADR REPRESENTING  LTD,US44332N1063,44332N106,0.1%,Consumer Discretionary,China,BB
HUAZHU GROUP LTD,KYG465871120,SBMB5YK56,0.0%,Consumer Discretionary,China,BB
HUBEI XINGFA CHEMICALS GROUP LTD A,CNE000000ZC9,SBP3RHC38,0.0%,Materials,China,CCC
HUIZHOU DESAY SV AUTOMOTIVE LTD A,CNE1000033C7,SBFY8GX98,0.0%,Consumer Discretionary,China,B
HUMANWELL HEALTHCARE (GROUP) LTD A,CNE000000QW6,SBP3R7124,0.0%,Health Care,China,CCC
HUNAN VALIN STEEL LTD A,CNE000001006,SBD5M0H82,0.0%,Materials,China,CCC
HUNDSUN TECHNOLOGIES INC A,CNE000001GD5,SBP3R6B58,0.0%,Information Technology,China,BBB
HUTCHMED (CHINA) LTD,KYG4672N1198,SBJQ2P077,0.0%,Health Care,China,BB
HUTCHMED (CHINA) LTD,KYG4672N1198,SBNTDT811,0.0%,Health Care,China,BB
HUTCHMED CHINA ADR LTD,US44842L1035,44842L103,0.0%,Health Care,China,BB
HUYA ADR INC,US44852D1081,44852D108,0.0%,Communication Services,China,BB
HYGEIA HEALTHCARE HOLDINGS LTD,KYG4712E1035,SBMX09H03,0.0%,Health Care,China,BBB
I MAB ADR,US44975P1030,44975P103,0.0%,Health Care,China,BBB
IDREAMSKY TECHNOLOGY HOLDINGS LTD,KYG470811079,SBHJW7262,0.0%,Communication Services,China,
IFLYTEK LTD A,CNE100000B81,SBD5CNN52,0.0%,Information Technology,China,BB
IMAX CHINA HOLDING INC,KYG476341030,SBYVYK422,0.0%,Communication Services,China,
IMEIK TECHNOLOGY DEVELOPMENT LTD A,CNE100004868,SBNR4MY37,0.0%,Health Care,China,B
INDUSTRIAL AND COMMERCIAL BANK OF,CNE1000003G1,SB1G1QD81,0.0%,Financials,China,BBB
INDUSTRIAL AND COMMERCIAL BANK OF,CNE000001P37,SBP3R2174,0.0%,Financials,China,BBB
INDUSTRIAL BANK LTD A,CNE000001QZ7,SBP3R2950,0.0%,Financials,China,A
INDUSTRIAL SECURITIES LTD A,CNE100000V95,SBP3R5B84,0.0%,Financials,China,BBB
INGENIC SEMICONDUCTOR LTD A,CNE100001377,SBD760S92,0.0%,Information Technology,China,B
INNER MONGOLIA BAOTOU STEEL UNION,CNE0000017H1,SBP3R4881,0.0%,Materials,China,CCC
INNER MONGOLIA DIAN TOU ENERGY COR,CNE100000098,SBD5CG920,0.0%,Energy,China,
INNER MONGOLIA ERDOS RESOURCES LTD,CNE0000017T6,SBP3RH890,0.0%,Materials,China,
INNER MONGOLIA JUNZHENG ENERGY & C,CNE1000010F8,SBP3R7B23,0.0%,Materials,China,CCC
INNER MONGOLIA YILI INDUSTRIAL GRO,CNE000000JP5,SBP3R2V71,0.0%,Consumer Staples,China,BB
INNER MONGOLIA YITAI COAL LTD B,CNE000000SK7,S60190113,0.0%,Energy,China,B
INNER MONGOLIA YUAN XING ENERGY LT,CNE000000P20,SBD5LZB41,0.0%,Materials,China,CCC
INNOVENT BIOLOGICS INC,KYG4818G1010,SBGR6KX53,0.0%,Health Care,China,BB
INSPUR ELECTRONIC INFORMATION INDU,CNE0000012M2,SBD5CLB91,0.0%,Information Technology,China,BB
INTCO MEDICAL TECHNOLOGY LTD A,CNE100003456,SBMTCVT64,0.0%,Health Care,China,BB
IQIYI ADS REPRESENTING INC,US46267X1081,SBYWT1W19,0.0%,Communication Services,China,B
JA SOLAR TECHNOLOGY LTD A,CNE100000SD1,SBMVB5001,0.0%,Information Technology,China,B
JAFRON BIOMEDICAL CO LTD A,CNE100002995,SBFY8H035,0.0%,Health Care,China,BBB
JASON FURNITURE HANGZHOU LTD,CNE100002GF7,SBYW5R096,0.0%,Consumer Discretionary,China,CCC
JCET GROUP LTD A,CNE000001F05,SBP3RCQ26,0.0%,Information Technology,China,BB
JD HEALTH INTERNATIONAL INC,KYG5074A1004,SBMW8R047,0.0%,Consumer Discretionary,China,A
JD.COM ADR REPRESENTING INC,US47215P1066,47215P106,0.0%,Consumer Discretionary,China,BB
JD.COM CLASS A INC,KYG8208B1014,SBKPQZT60,0.1%,Consumer Discretionary,China,BB
JH EDUCATIONAL TECHNOLOGY,KYG6578D1034,SBK9ZCW14,0.0%,Consumer Discretionary,China,
JIANGSU EASTERN SHENGHONG LTD A,CNE0000012K6,SBD5LSB54,0.0%,Materials,China,BB
JIANGSU EXPRESSWAY LTD H,CNE1000003J5,S60055043,0.0%,Industrials,China,B
JIANGSU HENGLI HYDRAULIC LTD A,CNE1000019R4,SBP3RFJ68,0.0%,Industrials,China,B
JIANGSU HENGRUI MEDICINE LTD A,CNE0000014W7,SBP3R3693,0.0%,Health Care,China,B
JIANGSU HUAHONG TECHNOLOGY STOCK L,CNE1000019V6,SBP91M464,0.0%,Industrials,China,
JIANGSU KINGS LUCK BREWERY LTD A,CNE100001TH8,SBTFRHZ24,0.0%,Consumer Staples,China,B
JIANGSU YANGHE BREWERY JOINT-STOCK,CNE100000HB8,SBD5CPF15,0.0%,Consumer Staples,China,BB
JIANGSU YANGNONG CHEMICAL LTD A,CNE000001B66,SBP3RGP93,0.0%,Materials,China,B
JIANGSU YOKE TECHNOLOGY LTD A,CNE100000PG0,SBFY8GF15,0.0%,Materials,China,CCC
JIANGSU YUYUE MEDICAL EQUIPMENT &,CNE1000009X3,SBD5CJM60,0.0%,Health Care,China,B
JIANGSU ZHONGTIAN TECHNOLOGY LTD A,CNE000001CW4,SBP3R9T46,0.0%,Industrials,China,BB
JIANGXI COPPER LTD A,CNE0000019P0,SBP3R4R72,0.0%,Materials,China,B
JIANGXI COPPER LTD H,CNE1000003K3,S60003050,0.0%,Materials,China,B
JIANGXI SPECIAL ELECTRIC MOTOR LTD,CNE1000007F4,SBD5CC721,0.0%,Industrials,China,B
JIANGXI ZHENGBANG TECHNOLOGY LTD A,CNE1000006H2,SBD5LZ811,0.0%,Consumer Staples,China,CCC
JINKE PROPERTY GROUP LTD A,CNE000000073,SBD5CKX40,0.0%,Real Estate,China,BB
JINKOSOLAR HOLDING ADR REP LTD,US47759T1007,47759T100,0.0%,Information Technology,China,
JINXIN FERTILITY GROUP LTD,KYG5140J1013,SBJ9JY532,0.0%,Health Care,China,A
JIUGUI LIQUOR LTD A,CNE000000S92,SBD73KS00,0.0%,Consumer Staples,China,B
JIUMAOJIU INTERNATIONAL HOLDINGS L,KYG5141L1059,SBLBFH659,0.0%,Consumer Discretionary,China,BBB
JIZHONG ENERGY RESOURCES LTD A,CNE0000010H6,SBD5CJ932,0.0%,Energy,China,
JOINCARE PHARMACEUTICAL GROUP INDU,CNE000001816,SBP3RBV06,0.0%,Health Care,China,BBB
JOINN LABORATORIES (CHINA) LTD A,CNE100002W27,SBK948194,0.0%,Health Care,China,BB
JOINTOWN PHARMACEUTICAL GROUP CO L,CNE100000W45,SBP3R5417,0.0%,Health Care,China,B
JONJEE HI-TECH INDUSTRIAL AND COMM,CNE000000HK0,SBP3RB109,0.0%,Consumer Staples,China,BB
JOY SPREADER GROUP INC,KYG5191P1054,SBLNPCK24,0.0%,Communication Services,China,
JOYY ADR INC,US46591M1099,SBL3N3C52,0.0%,Communication Services,China,BB
JUEWEI FOOD LTD A,CNE100002RT5,SBFF1YN31,0.0%,Consumer Staples,China,B
KAISA GROUP HOLDINGS LTD,KYG521321003,SB58RBK41,0.0%,Real Estate,China,BB
KANGJI MEDICAL HOLDINGS LTD,KYG5215A1004,SBMY5QH32,0.0%,Health Care,China,
KANZHUN AMERICAN DEPOSITORY SHARES,US48553T1060,48553T106,0.0%,Communication Services,China,BB
KE HOLDINGS ADR REPRESENTING  INC,US4824971042,482497104,0.0%,Real Estate,China,BB
KEDA INDUSTRIAL GROUP LTD A,CNE000001CP8,SBP3R8B96,0.0%,Industrials,China,BBB
KERRY LOGISTICS NETWORK LTD,BMG524181036,BRSLCVA68,0.0%,Industrials,China,BBB
KINGBOARD HOLDINGS LTD,KYG525621408,S64913189,0.0%,Information Technology,China,BB
KINGDEE INT L SOFTWARE GROUP LTD,KYG525681477,S63275879,0.0%,Information Technology,China,AA
KINGFA SCI&TECH LTD A,CNE000001JP3,SBP3R8H58,0.0%,Materials,China,BB
KINGSOFT CLOUD HOLDINGS ADR REPRES,US49639K1016,49639K101,0.0%,Information Technology,China,BBB
KINGSOFT CORP LTD,KYG5264Y1089,SB27WRM35,0.0%,Communication Services,China,BB
KINTOR PHARMACEUTICAL LTD,KYG5273B1077,SBMDWVN63,0.0%,Health Care,China,
KOOLEARN TECHNOLOGY HOLDING LTD,KYG5313A1013,SBDFZ4G48,0.0%,Consumer Discretionary,China,AA
KUAISHOU TECHNOLOGY,KYG532631028,SBLC90T07,0.0%,Communication Services,China,BB
KUANG-CHI TECHNOLOGIES LTD A,CNE1000018P0,SBD5CBF32,0.0%,Industrials,China,B
KUNLUN ENERGY LTD,BMG5320C1082,S63400782,0.0%,Utilities,China,BB
KUNLUN TECH LTD A,CNE100001YF2,SBD5CN131,0.0%,Communication Services,China,CCC
KWEICHOW MOUTAI LTD A,CNE0000018R8,SBP3R2F12,0.1%,Consumer Staples,China,CCC
KWG GROUP HOLDINGS LTD,KYG532241042,SB1YBF006,0.0%,Real Estate,China,BB
KWG LIVING GROUP HOLDINGS LTD,KYG5322R1039,SBLPJPQ96,0.0%,Real Estate,China,
LB GROUP LTD A,CNE1000015M3,SBD5LS718,0.0%,Materials,China,CCC
LEE & MAN PAPER MANUFACTURING LTD,KYG5427W1309,S66937723,0.0%,Materials,China,BBB
LENOVO GROUP LTD,HK0992009065,S62180898,0.0%,Information Technology,China,AA
LENS TECHNOLOGY LTD A,CNE100001YW7,SBD5CP177,0.0%,Information Technology,China,B
LEPU MEDICAL TECHNOLOGY BEIJING LT,CNE100000H44,SBD5CM166,0.0%,Health Care,China,BB
LEXINFINTECH HOLDINGS ADR LTD,US5288771034,528877103,0.0%,Financials,China,
LI AUTO ADR  INC,US50202M1027,50202M102,0.0%,Consumer Discretionary,China,AA
LI NING LTD,KYG5496K1242,SB01JCK97,0.0%,Consumer Discretionary,China,BB
LIAONING PORT LTD A,CNE100000X77,SBP3RBC15,0.0%,Industrials,China,
LIFETECH SCIENTIFIC CORP,KYG548721177,SBV9FKS03,0.0%,Health Care,China,
LINGYI ITECH (GUANGDONG) A,CNE1000015L5,SBD5LQY46,0.0%,Information Technology,China,BB
LIVZON PHARMACEUTICAL GROUP INC A,CNE0000002Y8,SBD5CQ258,0.0%,Health Care,China,BBB
LOGAN GROUP COMPANY LTD,KYG555551095,SBH6X9372,0.0%,Real Estate,China,BBB
LONGFOR GROUP HOLDINGS LTD,KYG5635P1090,SB56KLY94,0.0%,Real Estate,China,BBB
LONGI GREEN ENERGY TECHNOLOGY LTD,CNE100001FR6,SBRTL4110,0.0%,Information Technology,China,BBB
LONKING HOLDINGS LTD,KYG5636C1078,SB0MSW503,0.0%,Industrials,China,
LUFAX HLDG  AMERICAN DEPOSITARY SH,US54975P1021,SBNDK6G50,0.0%,Financials,China,B
LUOYANG GLASS LTD H,CNE1000003Q0,S65389140,0.0%,Industrials,China,
LUOYANG XINQIANGLIAN SLEWING BEARI,CNE100004116,SBNR4ML07,0.0%,Industrials,China,B
LUXI CHEMICAL GROUP LTD A,CNE000000WN3,SBD5C7W24,0.0%,Materials,China,CCC
LUXSHARE PRECISION INDUSTRY LTD A,CNE100000TP3,SBD5CN800,0.0%,Information Technology,China,BB
LUYE PHARMA GROUP LTD,BMG570071099,BRSNSCTG7,0.0%,Health Care,China,A
LUZHOU LAO JIAO LTD A,CNE000000GF2,SBD5CMM71,0.0%,Consumer Staples,China,B
MAANSHAN IRON AND STEEL LTD A,CNE000000DD4,SBP3R9K52,0.0%,Materials,China,
MANGO EXCELLENT MEDIA LTD A,CNE100001Y83,SBD5CDT17,0.0%,Communication Services,China,BB
MAOYAN ENTERTAINMENT,KYG5804A1076,SBHHD4Q43,0.0%,Consumer Discretionary,China,
MAXSCEND MICROELECTRONICS LTD A,CNE100003QK4,SBK4XS116,0.0%,Information Technology,China,BB
